2.76,100,44.61,71.99,99.99,100.00,100.00,50.91,82.50,99.98,100.00,100.00,29.90,54.12,100.00,32.27,51.98,100.00,0.43,19.67,55.73,78.44,100.00,40.74,52.66,79.44,95.72,100.00,62.45,75.71,100.00,49.35,61.62,100.00
1.38,100,67.88,69.57,96.79,97.73,100.00,71.17,95.71,98.23,100.00,100.00,50.59,61.97,100.00,23.44,28.74,100.00,14.82,32.05,50.55,88.57,100.00,56.23,69.44,84.24,93.22,100.00,46.46,62.93,100.00,39.76,76.53,100.00
0.28,100,27.42,78.07,99.96,99.96,100.00,49.90,79.29,98.69,99.89,100.00,25.93,59.11,100.00,43.45,79.54,100.00,18.85,34.92,48.68,69.26,100.00,62.59,80.17,96.43,98.80,100.00,54.12,73.98,100.00,17.10,58.46,100.00
2.71,200,44.58,68.52,100.00,100.00,100.00,47.76,84.71,100.00,100.00,100.00,35.96,62.67,100.00,39.22,64.75,100.00,3.84,12.55,28.00,61.67,100.00,53.48,74.54,86.01,98.56,100.00,39.15,70.04,100.00,33.91,61.18,100.00
1.28,200,42.34,68.78,100.00,100.00,100.00,50.44,84.26,97.99,99.60,100.00,36.22,61.62,100.00,41.72,65.68,100.00,2.99,10.59,14.39,68.42,100.00,49.59,70.37,77.61,87.50,100.00,30.47,70.35,100.00,32.85,82.46,100.00
0.27,200,31.23,75.29,100.00,100.00,100.00,42.35,73.74,100.00,100.00,100.00,38.02,73.08,100.00,42.55,74.47,100.00,4.26,60.09,71.74,94.91,100.00,49.31,59.98,72.13,97.08,100.00,34.85,57.40,100.00,30.75,50.94,100.00
2.63,400,30.98,75.55,100.00,100.00,100.00,43.91,75.55,100.00,100.00,100.00,42.90,74.97,100.00,46.74,77.97,100.00,7.19,7.69,13.51,22.87,100.00,38.91,46.30,61.63,90.43,100.00,52.03,70.60,100.00,26.50,48.79,100.00
1.32,400,31.29,76.38,100.00,100.00,100.00,44.51,76.39,100.00,100.00,100.00,43.57,76.35,100.00,46.51,77.91,100.00,0.71,10.00,10.81,39.68,100.00,45.30,59.85,85.86,98.60,100.00,44.81,62.23,100.00,40.23,49.48,100.00
0.27,400,31.11,76.01,100.00,100.00,100.00,44.25,76.07,100.00,100.00,100.00,42.71,75.34,100.00,44.42,76.16,100.00,3.15,9.30,17.50,36.83,100.00,45.06,58.94,72.51,88.43,100.00,40.01,64.95,100.00,26.63,60.00,100.00
2.64,800,31.23,76.25,100.00,100.00,100.00,44.01,75.01,98.95,99.74,100.00,42.59,74.58,100.00,46.89,76.62,100.00,0.98,5.31,10.95,38.39,100.00,43.17,60.45,75.89,88.47,100.00,51.63,72.75,100.00,41.07,64.08,100.00
1.37,800,31.34,76.03,100.00,100.00,100.00,44.41,76.06,100.00,100.00,100.00,43.49,75.74,100.00,45.47,77.57,100.00,0.16,10.98,15.47,37.92,100.00,45.12,56.70,68.68,84.44,100.00,53.39,71.38,100.00,42.18,59.18,100.00
0.27,800,31.55,76.03,100.00,100.00,100.00,44.21,76.01,100.00,100.00,100.00,44.16,76.34,100.00,44.22,76.02,100.00,0.19,11.48,42.21,43.97,100.00,43.80,57.90,75.55,98.99,100.00,47.43,67.85,100.00,26.82,46.48,100.00
2.65,1600,31.39,75.85,100.00,100.00,100.00,44.33,75.85,100.00,100.00,100.00,44.04,75.86,100.00,45.31,77.58,100.00,8.84,10.45,28.13,50.69,100.00,43.41,53.98,67.80,87.91,100.00,56.63,73.96,100.00,23.37,35.15,100.00
1.37,1600,31.46,76.00,100.00,100.00,100.00,44.51,74.40,99.17,99.85,100.00,44.13,74.13,100.00,44.57,75.94,100.00,3.54,13.25,15.51,50.89,100.00,44.01,56.53,73.77,94.36,100.00,53.47,73.28,100.00,30.62,46.65,100.00
0.27,1600,31.56,75.75,100.00,100.00,100.00,44.03,74.70,98.32,99.99,100.00,44.12,75.56,100.00,44.82,74.72,100.00,7.99,10.85,24.93,50.07,100.00,43.49,49.90,58.30,77.52,100.00,64.25,78.26,100.00,31.00,46.92,100.00
