Noise,N,0
0.0979944654673637,100,-105.25937324381157
0.048443060652493056,100,-112.51718274015137
0.009329802149457472,100,-107.16765709599264
0.09919470158512192,200,-216.0787704389552
0.05222206905095077,200,-205.3284926986044
0.00978256369915774,200,-213.8265880213937
0.10146411316216493,400,-432.45510486132986
0.04928029854980694,400,-183.92060932073616
0.010287988014161153,400,-418.0348637850102
0.10137886597447154,800,-698.1226177172329
0.0477573653624784,800,-144.21596424893843
0.009987634647585036,800,-749.2167022648758
0.10003040744882842,1600,-280.5786241352423
0.049766506574559694,1600,-492.0157362806618
0.01012885198244404,1600,-145.19197250912129
