Noise,N,x0,x1,x2,x3,x4
0.0000,100,1.0000,0.0084,-0.0000,-0.0000,-0.0000
0.0000,100,-0.0084,1.0000,-0.0000,0.0000,-0.0000
0.0000,100,0.0000,0.0000,0.5000,0.5000,-0.0000
0.0000,100,0.0000,0.0000,0.5000,0.5000,-0.0000
0.0000,100,0.0000,0.0000,-0.0000,-0.0000,1.0000
0.0250,100,1.0000,0.0047,0.0000,-0.0000,0.0000
0.0250,100,-0.0047,1.0000,-0.0000,0.0000,0.0000
0.0250,100,0.0000,0.0000,0.0000,1.0000,-0.0000
0.0250,100,-0.0000,0.0000,-0.0000,-0.0000,1.0000
0.0250,100,-0.0000,-0.0000,1.0000,0.0000,-0.0000
0.0000,200,1.0000,-0.0018,-0.0000,0.0000,-0.0000
0.0000,200,0.0018,1.0000,0.0000,-0.0000,0.0000
0.0000,200,0.0000,0.0000,0.5000,0.0000,0.5000
0.0000,200,0.0000,0.0000,0.5000,0.5000,-0.0000
0.0000,200,-0.0000,-0.0000,0.0000,0.5000,0.5000
0.0250,200,1.0000,-0.0078,-0.0006,0.0001,-0.0000
0.0250,200,0.0078,1.0000,-0.0000,0.0000,-0.0000
0.0250,200,0.0006,-0.0000,1.0000,0.0000,-0.0000
0.0250,200,-0.0001,0.0000,0.0000,0.5000,0.5000
0.0250,200,0.0000,-0.0000,-0.0000,0.5000,0.5000
0.0000,400,1.0000,0.0012,-0.0000,-0.0000,-0.0000
0.0000,400,-0.0012,1.0000,0.0000,-0.0000,0.0000
0.0000,400,-0.0000,-0.0000,0.0000,0.5000,0.5000
0.0000,400,-0.0000,0.0000,0.5000,0.0000,0.5000
0.0000,400,0.0000,0.0000,0.5000,0.5000,-0.0000
0.0250,400,1.0000,0.0009,0.0000,0.0000,0.0000
0.0250,400,-0.0009,1.0000,-0.0000,0.0000,0.0000
0.0250,400,0.0000,0.0000,0.0000,0.5000,0.5000
0.0250,400,-0.0000,0.0000,-0.0000,0.5000,0.5000
0.0250,400,-0.0000,-0.0000,1.0000,0.0000,0.0000
0.0000,800,1.0000,-0.0022,0.0000,0.0000,0.0000
0.0000,800,0.0022,1.0000,-0.0001,-0.0000,-0.0001
0.0000,800,-0.0000,0.0001,1.0000,-0.0000,-0.0000
0.0000,800,-0.0000,0.0001,-0.0000,0.5000,0.5000
0.0000,800,-0.0000,0.0000,-0.0000,0.5000,0.5000
0.0250,800,0.9788,0.0790,-0.0376,-0.0278,0.1114
0.0250,800,-0.1041,0.9788,-0.0307,-0.0228,0.0921
0.0250,800,0.0312,0.0371,0.9976,-0.0018,0.0072
0.0250,800,-0.0920,-0.1113,0.0071,0.5053,0.4786
0.0250,800,0.0229,0.0276,-0.0018,0.4987,0.5053
0.0000,1600,0.8488,0.0149,0.2338,0.0788,-0.2592
0.0000,1600,-0.1054,0.4801,0.0054,0.4881,0.0092
0.0000,1600,-0.0692,0.4930,0.5342,0.0052,-0.0309
0.0000,1600,0.2667,0.0601,0.0390,0.5523,0.4135
0.0000,1600,-0.2028,-0.0518,0.4389,-0.0531,0.6036
0.0250,1600,0.9961,0.0633,0.0002,0.0000,-0.0001
0.0250,1600,-0.0633,0.9961,0.0024,0.0002,-0.0005
0.0250,1600,-0.0000,0.0005,0.5000,0.0000,0.5000
0.0250,1600,0.0000,-0.0002,-0.0000,1.0000,0.0000
0.0250,1600,0.0000,-0.0024,0.5000,-0.0000,0.5000
