11.02,100,27.76,78.19,96.94,97.39,100.00,39.04,71.33,93.04,99.81,100.00,42.21,72.72,100.00,39.34,71.51,92.38,100.00
5.11,100,36.44,84.64,99.87,100.00,100.00,38.78,84.18,99.86,100.00,100.00,36.44,80.12,100.00,36.23,78.96,99.79,100.00
1.07,100,35.45,82.04,98.78,98.78,100.00,36.75,79.12,99.79,100.00,100.00,34.29,77.40,100.00,37.50,85.13,97.50,100.00
10.01,200,36.82,87.00,99.97,99.97,100.00,39.13,87.06,99.97,100.00,100.00,38.10,83.75,100.00,33.85,81.89,93.46,100.00
5.15,200,36.72,84.46,100.00,100.00,100.00,39.37,83.39,99.12,99.68,100.00,38.30,82.31,100.00,36.62,78.84,98.01,100.00
0.99,200,38.45,85.19,99.96,99.98,100.00,40.77,80.68,99.85,99.93,100.00,39.51,78.80,100.00,36.69,77.20,99.44,100.00
10.39,400,36.03,84.38,99.98,99.98,100.00,36.23,84.34,99.98,99.99,100.00,35.68,82.97,100.00,33.58,77.52,89.14,100.00
5.22,400,36.74,83.07,99.99,100.00,100.00,36.89,83.19,100.00,100.00,100.00,36.86,82.66,100.00,37.06,79.42,93.50,100.00
1.00,400,36.09,84.21,99.97,100.00,100.00,37.13,84.36,99.97,100.00,100.00,36.58,83.12,100.00,36.72,83.41,99.63,100.00
10.23,800,36.18,84.66,99.95,100.00,100.00,37.19,84.68,99.95,100.00,100.00,36.94,83.89,100.00,36.14,76.63,91.81,100.00
5.27,800,36.07,84.25,100.00,100.00,100.00,37.16,84.30,100.00,100.00,100.00,37.05,84.02,100.00,35.96,80.54,95.49,100.00
1.06,800,36.55,84.27,99.68,100.00,100.00,36.75,84.22,99.67,100.00,100.00,36.76,83.79,100.00,36.79,83.05,98.84,100.00
10.24,1600,35.82,84.39,100.00,100.00,100.00,36.99,84.41,100.00,100.00,100.00,36.92,83.82,100.00,35.06,78.14,93.11,100.00
5.20,1600,35.79,84.48,99.75,100.00,100.00,37.08,84.47,99.84,100.00,100.00,36.95,83.85,100.00,35.85,80.65,95.18,100.00
1.03,1600,36.57,83.83,99.43,100.00,100.00,36.57,83.83,99.43,100.00,100.00,36.57,83.70,100.00,36.07,83.69,98.76,100.00
